DSC_8933,37.873219,-122.267432	['37.8730449631,-122.266996217-0004', '37.8730449631,-122.266996217-0010', '37.8731395332,-122.26701098-0008', '37.8731395332,-122.26701098-0009']
DSC_8906,37.869546,-122.272715	[]
DSC_8883,37.872297,-122.273240	[]
DSC_8907,37.871668,-122.273001	[]
DSC_8915,37.872573,-122.272397	[]
DSC_8874,37.872479,-122.271866	[]
DSC_8862,37.872730,-122.269941	['37.8729579243,-122.2696047-0009', '37.8729579243,-122.2696047-0010', '37.8730484773,-122.269629246-0008']
DSC_8894,37.871166,-122.273079	['37.8710078249,-122.272982547-0008', '37.8711186843,-122.272997343-0009', '37.8712247127,-122.273011747-0010', '37.8712247127,-122.273011747-0009']
DSC_8893,37.871340,-122.273075	['37.8713231426,-122.27302521-0008', '37.8713231426,-122.27302521-0009', '37.8714245674,-122.273029991-0009']
DSC_8845,37.872505,-122.268501	[]
DSC_8875,37.872478,-122.272172	[]
DSC_8866,37.872635,-122.270719	['37.872618307,-122.271229169-0008', '37.8725721125,-122.271589211-0009', '37.8725721125,-122.271589211-0010', '37.8725877157,-122.27147185-0008', '37.8725877157,-122.27147185-0009', '37.8725877157,-122.27147185-0010', '37.8726029305,-122.271354962-0009', '37.8727887539,-122.270766053-0004', '37.8728883166,-122.27078393-0002', '37.8728883166,-122.27078393-0003', '37.8728883166,-122.27078393-0004']
DSC_8930,37.873225,-122.267880	[]
DSC_8886,37.872159,-122.273188	[]
DSC_8859,37.872778,-122.269564	['37.8729579243,-122.2696047-0009', '37.8729579243,-122.2696047-0010', '37.8730484773,-122.269629246-0008']
DSC_8877,37.872463,-122.272385	[]
DSC_8908,37.871668,-122.273001	[]
DSC_8868,37.872629,-122.271032	['37.872618307,-122.271229169-0010', '37.8725721125,-122.271589211-0009', '37.8725721125,-122.271589211-0010', '37.8725877157,-122.27147185-0008', '37.8725877157,-122.27147185-0009', '37.8725877157,-122.27147185-0010', '37.8726029305,-122.271354962-0008', '37.8726339482,-122.271104143-0009', '37.8726339482,-122.271104143-0010', '37.8726472462,-122.270987182-0010', '37.8726612342,-122.270873607-0008', '37.8726612342,-122.270873607-0009', '37.8726787585,-122.270746703-0008', '37.8727887539,-122.270766053-0004', '37.8728883166,-122.27078393-0002', '37.8728883166,-122.27078393-0003', '37.8728883166,-122.27078393-0004']
DSC_8853,37.872912,-122.268542	[]
DSC_8927,37.873174,-122.268253	[]
DSC_8895,37.871166,-122.273079	['37.8713231426,-122.27302521-0008', '37.8713231426,-122.27302521-0009', '37.8714245674,-122.273029991-0009']
DSC_8843,37.872342,-122.268506	[]
DSC_8884,37.872159,-122.273188	[]
DSC_8858,37.872778,-122.269564	[]
DSC_8885,37.872159,-122.273188	[]
DSC_8888,37.871909,-122.272885	[]
DSC_8889,37.871909,-122.272885	['37.8715727417,-122.272890543-0004', '37.8715934483,-122.272776795-0002', '37.8715934483,-122.272776795-0003']
DSC_8846,37.872505,-122.268501	['37.8721285416,-122.268283904-0010', '37.8721453008,-122.26814499-0009', '37.8721453008,-122.26814499-0008', '37.8721957237,-122.268230677-0003', '37.8722135808,-122.268110559-0002', '37.8721957237,-122.268230677-0004']
DSC_8910,37.871874,-122.273089	[]
DSC_8925,37.872966,-122.269202	[]
DSC_8878,37.872436,-122.272609	[]
DSC_8905,37.869290,-122.272571	[]
DSC_8923,37.872823,-122.270393	['37.8724095835,-122.270704836-0008', '37.8726787585,-122.270746703-0002']
DSC_8921,37.872783,-122.270636	['37.8724095835,-122.270704836-0008', '37.8726787585,-122.270746703-0002']
DSC_8891,37.871752,-122.273089	[]
DSC_8881,37.872437,-122.272943	[]
DSC_8900,37.870588,-122.273018	['37.8705877444,-122.272712268-0004', '37.8706061338,-122.272599761-0002', '37.8706061338,-122.272599761-0003']
DSC_8852,37.872912,-122.268542	[]
DSC_8917,37.872607,-122.272071	[]
DSC_8912,37.872208,-122.273110	[]
DSC_8909,37.871874,-122.273089	[]
DSC_8899,37.870778,-122.273020	['37.8707329673,-122.272948422-0008', '37.8708257603,-122.272960317-0008']
DSC_8856,37.872882,-122.268987	[]
